угол: 0; радиус: 48
угол: 331; радиус: 74,3034319530397
угол: 332; радиус: 73,824115301167
угол: 333; радиус: 72,0069441095788
угол: 334; радиус: 68,8767014308903
угол: 335; радиус: 68,4470598345904
угол: 336; радиус: 66,7083203206317
угол: 337; радиус: 65,3911308970873
угол: 338; радиус: 63,6945837571767
угол: 339; радиус: 63,3245607959503
угол: 340; радиус: 62,9682459657247
угол: 341; радиус: 61,3514466007119
угол: 342; радиус: 59,7745765355138
угол: 343; радиус: 58,5234995535981
угол: 344; радиус: 58,2408791142441
угол: 345; радиус: 57,0087712549569
угол: 346; радиус: 55,5427763079953
угол: 347; радиус: 55,3172667437573
угол: 348; радиус: 54,1294744108974
угол: 349; радиус: 53,9351462406472
угол: 350; радиус: 52,773099207835
угол: 351; радиус: 52,6117857518636
угол: 352; радиус: 51,478150704935
угол: 353; радиус: 51,3517283058711
угол: 354; радиус: 50,2493781056045
угол: 355; радиус: 50,1597448159378
угол: 356; радиус: 50,122350304031
угол: 357; радиус: 50,0899191454728
угол: 358; радиус: 49,0407993409569
угол: 359; радиус: 49,0102030193714
